chembl_id,smiles,activity_type,activity_value,activity_units,pIC50,docking
CHEMBL4474073,COCCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,0.76,nM,9.12,-8.154
CHEMBL4577883,COC[C@@H](C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,0.94,nM,9.03,-8.078
CHEMBL4443188,COC[C@H](C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,2.73,nM,8.56,-8.055
CHEMBL4473875,CCOCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C,IC50,0.69,nM,9.16,-7.924
CHEMBL4441392,Cc1cc(=O)n2nc(SCc3ccc(F)cc3)nc2[nH]1,IC50,52.0,nM,7.28,-7.88
CHEMBL4567599,Cc1cc(=O)n2nc(SCc3ccc(C(C)(C)C)cc3)nc2[nH]1,IC50,86.0,nM,7.07,-8.361
CHEMBL4456976,Cc1cc(=O)n2nc(SCc3ccc(C(C)C)cc3)nc2[nH]1,IC50,62.0,nM,7.21,-8.424
CHEMBL4435632,Cc1cc(=O)n2nc(SCc3cccc(C(F)(F)F)c3)nc2[nH]1,IC50,81.0,nM,7.09,-8.434
CHEMBL4539566,Cc1ccc(CSc2nc3[nH]c(C)cc(=O)n3n2)cc1,IC50,168.0,nM,6.78,-8.091
CHEMBL3818535,Cc1cc(=O)n2nc(SCc3ccc(Cl)cc3)nc2[nH]1,IC50,54.0,nM,7.27,-7.887
CHEMBL2178513,Cc1cc(O)n2nc(SCc3cccc(Cl)c3)nc2n1,IC50,59.0,nM,7.23,-7.948
CHEMBL4445265,Cc1cc(=O)n2nc(SCc3ccc([N+](=O)[O-])cc3)nc2[nH]1,IC50,76.0,nM,7.12,-7.965
CHEMBL4565086,Cc1cc(=O)n2nc(SCc3cccc([N+](=O)[O-])c3)nc2[nH]1,IC50,77.0,nM,7.11,-8.135
CHEMBL4570484,Cc1cc(=O)n2nc(SCc3ccc(Cl)cc3Cl)nc2[nH]1,IC50,141.0,nM,6.85,-8.052
